Tag,Value
HMI_LIT101_AHH,0
HMI_LIT101_Pv,0
P1.MV101.DI_ZSO,0
P1.MV101.DI_ZSC,1
P1.MV101.DO_Open,0
P1.MV101.DO_Close,0
P1.P101.DI_Run,0
P1.P101.DO_Start,0
P1.P102.DI_Run,0
P1.P102.DO_Start,0
HMI_PLANT_STOP,0
HMI_PLANT_START,1
HMI_LIT_301_AL,0
HMI_LIT_301_AH,0
HMI_PLANT_RESET_ON,1
HMI_PLANT_AUTO_ON,1
HMI_PLANT_AUTO_OFF,0
HMI_P2_PERMISSIVE_ON,1
HMI_P3_PERMISSIVE_ON,1
HMI_P4_PERMISSIVE_ON,1
HMI_PLANT_READY,1
HMI_MV201_STATUS,1
HMI_LIT301_Pv,0
HMI_LIT401_Pv,0
HMI_LSH601_Alarm,0
HMI_LSL601_Alarm,0
P2.MV201.DI_ZSO,0
P2.MV201.DO_Open,0
P2.MV201.DI_ZSC,1
P2.MV201.DO_Close,0
P3.P301.DI_Run,0
P3.P302.DI_Run,0
P3.MV301.DI_ZSC,1
P3.MV302.DI_ZSC,1
P3.MV303.DI_ZSC,1
P3.MV304.DO_ZSO,0
P3.MV304.DI_ZSO,0
P3.MV302.DI_ZSO,0
P3.MV303.DI_ZSO,0
P3.MV304.DI_ZSC,1
P3.MV301.DI_ZSO,0
P3.P301.DO_Start,0
P3.P302.DO_Start,0
P3.MV301.DO_Open,0
P3.MV302.DO_Open,0
P3.MV303.DO_Open,0
P3.MV304.DO_Open,0
P3.MV301.DO_Close,0
P3.MV302.DO_Close,0
P3.MV303.DO_Close,0
P3.MV304.DO_Close,0
P4.P401.DI_Run,0
P4.P401.DO_Start,0
P4.P402.DI_Run,0
P4.P402.DO_Start,0
P5.MV501.DI_ZSO,0
P5.MV501.DO_Open,0
P5.MV501.DI_ZSC,1
P5.MV501.DO_Close,0
P5.MV502.DI_ZSO,0
P5.MV502.DO_Open,0
P5.MV502.DI_ZSC,1
P5.MV502.DO_Close,0
P5.MV503.DI_ZSO,0
P5.MV503.DO_Open,0
P5.MV503.DI_ZSC,1
P5.MV503.DO_Close,0
P5.MV504.DI_ZSO,0
P5.MV504.DO_Open,0
P5.MV504.DI_ZSC,1
P5.MV504.DO_Close,0
P5.P501.DI_Run,0
P5.P501_VSD_Out.Start,0
P5.P502.DI_Run,0
P5.P501_VSD_Out.Stop,0
P5.P502_VSD_Out.Start,0
P5.P502_VSD_Out.Stop,0
P6.P601.DI_Run,0
P6.P601.DO_Start,0
P6.P602.DI_Run,0
P6.P602.DO_Start,0
